wavelength_A,flux,error,model,mission,instrument,plate,mjd,fiberid,specobjid,run2d,programname,data_release
3992.088,27.997799,2.482514,26.479202,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3993.0063,26.011597,2.4628491,26.448088,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3993.925,27.71897,2.480399,26.462887,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3994.846,22.506762,2.3498547,26.415846,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3995.765,25.079727,2.3516572,26.3645,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3996.6863,25.509726,2.4280176,26.488039,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3997.6057,25.869371,2.4180064,26.510077,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3998.5276,28.162432,2.4646122,26.512756,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3999.4475,29.333246,2.434516,26.463547,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
4000.3674,24.473137,2.2920966,26.358263,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
4001.29,20.17996,2.1918914,26.31606,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
4002.2104,25.184027,2.2358036,26.424917,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
4003.1333,29.625542,2.2780137,26.330196,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
4004.0544,25.385214,2.1665637,26.22448,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
4004.9775,25.354015,2.1291268,26.2285,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
4005.899,26.834112,2.1092954,26.27196,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
4006.8206,22.358328,2.015319,26.296171,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
4007.7446,27.723955,2.0696805,26.353756,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
