# wavelength_A flux_1e-17 err_1e-17
4376.228 0.62471902 0.36979887
4377.2368 0.43016845 0.37296337
4378.2441 0.045362625 0.36149377
4379.2534 0.40501428 0.35926121
4380.2612 0.28973034 0.36205736
4381.2686 -0.078077137 0.35789531
4382.2793 0.6535514 0.37905344
4383.2871 0.54297268 0.38055634
4384.2979 0.67127281 0.37246794
4385.3066 -0.30340874 0.36913121
4386.3179 0.86092383 0.40065339
4387.3267 0.24353591 0.40717202
4388.3359 0.076956093 0.40357444
4389.3481 -0.22566916 0.39244872
4390.3579 0.19396584 0.36166242
4391.3701 0.19205965 0.34441498
4392.3804 0.0048145307 0.36672908
4393.3936 0.39939508 0.3811599
4394.4043 0.15953781 0.38687003
4395.415 -0.17237486 0.36456606
4396.4287 -0.25068858 0.3595452
4397.4399 0.81088519 0.37530002
4398.4541 0.22274585 0.36242202
4399.4658 0.3592484 0.35414004
4400.4805 0.30159354 0.36291468
4401.4927 -0.21992575 0.34940958
4402.5054 0.87550896 0.37391865
4403.5205 1.0723931 0.37905142
4404.5337 0.56222028 0.37569302
4405.5493 0.15293314 0.36030278
4406.5625 -0.15635578 0.34993899
4407.5786 -0.34398121 0.35444659
4408.5928 0.48175165 0.37969571
4409.6069 1.7876039 0.4323099
4410.624 0.66100073 0.41494292
4411.6387 0.1591443 0.37937436
4412.6558 0.010673155 0.40694001
4413.6709 0.44618005 0.46165869
4414.6885 0.43929732 0.45278451
4415.7041 1.0713652 0.41248551
4416.7227 0.44988313 0.38577893
4417.7388 0.65729839 0.37692299
4418.7549 0.34247196 0.36822933
4419.7739 -0.31408933 0.36542776
4420.7905 0.033455133 0.38750076
4421.8101 0.71973467 0.39206281
4422.8271 0.37277737 0.38943616
4423.8472 -0.41207656 0.391193
4424.8647 -0.16018303 0.39165482
4425.8828 -0.010405462 0.38954628
4426.9033 -0.67530417 0.48708436
4427.9219 0.44375366 0.45976841
4428.9429 0.36630774 0.36751848
4429.9619 0.4691951 0.35451019
4430.9834 -0.52813363 0.34444934
4432.0024 0.0021360586 0.35084125
4433.022 -0.15999374 0.36819702
4434.0444 -0.37610298 0.37305278
4435.0645 -0.24360268 0.37464935
4436.0874 0.37375218 0.37345648
4437.1079 0.94622803 0.38209584
4438.1309 0.492116 0.36312374
4439.1519 0.11743705 0.35671991
4440.1733 0.029200515 0.49886331
4441.1968 0.3689751 0.53317213
4442.2188 1.6575452 0.54060155
4443.2432 0.074934013 0.48522744
4444.2651 -0.12273957 0.4637492
4445.29 0.61047077 0.3580313
4446.3125 0.072259292 0.35702911
4447.3354 0.13766649 0.36601138
4448.3613 0.1335399 0.37624058
4449.3843 0.64112687 0.38296133
