# wavelength_A donor_subtracted_flux_1e-17 err_1e-17
4410.624 15.63525 1.336589
4411.639 19.37876 1.391603
4412.656 21.23575 1.527739
4413.671 20.15217 1.502841
4414.689 17.94502 1.369811
4415.704 19.89198 1.369356
4416.723 21.06965 1.387016
4417.739 20.62376 1.403449
4418.755 20.57937 1.385774
4419.774 21.53551 1.429017
4420.791 22.38644 1.449401
4421.81 22.20601 1.441141
4422.827 22.31352 1.408559
4423.847 22.80806 1.391821
4424.865 23.55504 1.501322
4425.883 22.87857 1.473656
4426.903 21.55273 1.423877
4427.922 20.91776 1.419344
4428.943 22.90894 1.451864
4429.962 22.37548 1.446766
4430.983 22.33418 1.4465
4432.002 23.92076 1.448011
4433.022 23.97543 1.441507
4434.044 24.25959 1.411444
4435.065 26.79047 1.442503
4436.087 27.56977 1.456156
4437.108 24.19176 1.410835
4438.131 25.02733 1.428737
4439.152 28.23565 1.49229
4440.173 27.63431 1.500314
4441.197 25.98512 1.480138
4442.219 26.28199 1.484652
4443.243 26.30959 1.466643
4444.265 26.38128 1.479133
4445.29 28.22584 1.512135
4446.312 29.93446 1.545388
4447.335 26.84937 1.511824
4448.361 23.62902 1.452064
4449.384 28.83184 1.49542
4450.411 24.42665 1.450816
4451.434 29.02786 1.518148
4452.461 29.97489 1.581269
4453.485 32.15906 1.617597
4454.51 29.67468 1.569574
4455.537 28.02243 1.520835
4456.561 28.52718 1.50214
4457.589 28.97556 1.471221
4458.615 29.46617 1.499252
4459.643 27.44882 1.472442
4460.669 28.55943 1.535523
4461.695 34.2048 1.607155
4462.724 32.2904 1.595837
4463.751 30.33841 1.521535
4464.78 28.50069 1.476876
4465.807 30.68483 1.488762
4466.837 31.39082 1.526073
4467.864 32.23732 1.560443
4468.892 30.9468 1.546945
4469.923 29.56744 1.535181
4470.951 30.2244 1.534095
4471.982 31.53648 1.553952
4473.011 30.95856 1.587353
4474.042 30.42568 1.580317
4475.072 31.19426 1.583863
4476.101 29.62355 1.563321
4477.133 30.47288 1.571084
4478.163 30.06511 1.578621
4479.196 33.98754 1.597169
4480.227 29.54944 1.519663
4481.259 31.3937 1.512075
4482.291 28.18824 1.482671
4483.321 31.02506 1.512938
4484.355 32.59949 1.553333
4485.387 32.9177 1.577954
4486.421 29.88741 1.552431
4487.454 29.24836 1.605111
4488.488 32.78788 1.644751
4489.521 31.04758 1.56107
4490.554 29.88886 1.514638
4491.589 32.43474 1.515457
4492.623 28.61002 1.488765
4493.658 33.95391 1.559032
4494.692 32.12559 1.573308
4495.729 32.24041 1.577441
4496.763 32.01309 1.556628
4497.8 31.4914 1.524101
4498.834 32.22894 1.513766
4499.87 29.90047 1.489852
4500.907 29.33152 1.467517
4501.942 29.64783 1.475003
4502.98 29.57115 1.493194
4504.017 33.10635 1.532175
4505.055 33.25303 1.535335
4506.091 31.18128 1.523634
4507.128 29.43982 1.508233
4508.167 33.15151 1.548147
4509.205 28.96791 1.490179
4510.245 31.65115 1.500405
4511.282 33.0116 1.524923
4512.322 31.63809 1.506435
4513.36 29.75943 1.483756
4514.398 30.53354 1.481446
4515.44 30.50689 1.475857
4516.479 28.81172 1.451779
4517.52 28.15876 1.440891
4518.559 28.64282 1.478702
4519.601 30.6667 1.498828
4520.641 30.89096 1.517694
4521.681 29.63891 1.514226
4522.724 32.34965 1.561484
4523.764 30.26458 1.551845
4524.807 30.19508 1.543148
4525.848 28.04446 1.516071
4526.892 30.15129 1.490894
4527.933 31.37776 1.467889
4528.975 28.98439 1.431402
4530.019 27.69416 1.435811
4531.061 29.28804 1.481003
4532.106 31.36346 1.533878
4533.149 31.81541 1.51802
4534.194 30.01698 1.481739
4535.237 28.27124 1.452737
4536.28 28.93901 1.452
4537.327 25.42828 1.500835
4538.37 28.07315 1.510061
4539.417 28.19483 1.533382
4540.461 27.79628 1.423937
4541.508 29.1901 1.447256
4542.553 28.05865 1.44534
4543.598 28.14405 1.458401
4544.645 31.48919 1.462888
4545.691 30.95372 1.461364
4546.739 27.39865 1.39153
4547.785 27.85982 1.413433
4548.834 29.09139 1.43888
4549.88 26.16491 1.444772
4550.927 25.64274 1.447887
4551.977 28.71853 1.467921
4553.024 25.94744 1.399793
4554.074 27.55813 1.40052
4555.122 26.98857 1.392514
4556.172 25.38503 1.481404
4557.22 24.84562 1.481524
4558.269 24.95333 1.38695
4559.319 23.69249 1.383269
4560.368 27.45428 1.41515
4561.42 26.38739 1.413441
4562.469 24.69572 1.377489
4563.521 24.4487 1.349808
4564.571 24.0005 1.335622
4565.621 28.35572 1.463049
4566.674 24.9807 1.466112
4567.725 24.33057 1.376168
4568.778 26.52443 1.409705
4569.829 23.8333 1.374254
4570.883 22.33831 1.353031
4571.934 26.9265 1.399458
4572.989 24.45416 1.376938
4574.041 21.39287 1.329662
4575.093 24.08517 1.367272
4576.148 24.04131 1.361844
4577.201 24.1372 1.343171
4578.256 23.28318 1.3301
4579.309 23.11288 1.332856
4580.365 23.59749 1.35468
4581.419 21.68041 1.334162
4582.473 23.50061 1.34848
4583.53 21.97193 1.371578
4584.584 24.429 1.412791
4585.641 24.52552 1.323096
4586.696 23.29794 1.308829
4587.754 22.74461 1.29763
4588.809 22.43086 1.291452
4589.865 23.79894 1.341067
4590.923 23.87444 1.331811
4591.98 22.05141 1.292024
4593.039 22.74106 1.287938
4594.095 20.9553 1.28289
4595.154 19.58417 1.283055
4596.211 21.33987 1.316967
4597.269 22.36665 1.33681
4598.329 20.53154 1.302351
4599.387 20.42081 1.293917
4600.447 22.48361 1.286405
4601.506 21.10718 1.25191
4602.567 20.65587 1.248324
4603.626 22.02311 1.283718
4604.685 20.68342 1.309723
4605.747 20.73074 1.322228
4606.806 23.59876 1.337294
4607.869 20.28534 1.303354
4608.929 19.92709 1.269788
4609.991 20.03221 1.236575
4611.052 18.85157 1.218127
4612.113 21.00983 1.250205
4613.176 21.81036 1.270052
4614.237 19.9985 1.274821
4615.301 21.37824 1.303336
4616.363 21.91398 1.292185
4617.428 21.52543 1.356958
4618.49 19.78595 1.314727
4619.552 16.55543 1.169694
4620.618 18.83372 1.202076
4621.681 19.95661 1.373855
4622.747 22.17403 1.414087
4623.81 21.39122 1.401861
4624.876 18.97445 1.228035
4625.94 21.14003 1.241698
4627.004 20.18887 1.258197
4628.071 20.8793 1.250424
4629.136 18.97605 1.224276
4630.203 18.72333 1.204413
4631.269 19.39657 1.193792
4632.336 18.17831 1.207778
4633.402 20.11444 1.238465
4634.468 20.44385 1.262666
4635.537 17.59842 1.237713
4636.603 19.06647 1.246667
4637.672 21.33411 1.272363
4638.739 19.13724 1.2293
4639.809 19.26263 1.198125
4640.877 14.63848 1.42105
4641.944 18.05252 1.43618
4643.014 18.00189 1.19207
4644.083 17.20138 1.158636
4645.153 18.65787 1.184835
4646.222 18.4075 1.177725
4647.293 18.63622 1.204233
4648.362 18.34254 1.212878
4649.432 18.20386 1.237112
4650.504 18.93822 1.255982
4651.574 18.63357 1.213471
4652.646 20.43334 1.201631
4653.717 16.80638 1.156992
4654.79 20.19466 1.228021
4655.861 20.64537 1.250092
4656.935 18.53471 1.223629
4658.006 20.68698 1.221571
4659.077 18.98689 1.222773
4660.152 18.74725 1.219813
4661.224 18.60385 1.239096
4662.298 17.64307 1.272465
4663.371 18.94434 1.300389
4664.446 18.53853 1.278977
4665.52 17.91403 1.249613
4666.593 19.04372 1.223245
4667.669 18.90359 1.211514
4668.743 16.92627 1.170051
4669.819 16.87757 1.17723
4670.894 19.25142 1.198569
4671.971 16.72797 1.170778
4673.045 18.53001 1.186027
4674.121 15.8664 1.190646
4675.198 18.09584 1.271183
4676.274 17.61352 1.268384
4677.352 17.95124 1.228599
4678.428 18.13709 1.196202
4679.507 19.03997 1.17715
4680.583 18.55318 1.170777
4681.66 16.16498 1.13101
4682.74 16.5869 1.150005
4683.817 17.60403 1.180835
4684.898 17.47813 1.207939
4685.975 17.25822 1.217764
4687.056 17.06633 1.18937
4688.134 16.85683 1.164664
4689.212 17.3352 1.169162
4690.293 18.79308 1.177105
4691.373 15.75661 1.146001
4692.455 17.81539 1.177538
4693.534 18.75985 1.18023
4694.616 17.06736 1.173755
4695.696 19.96973 1.19653
4696.776 18.59216 1.163891
4697.859 16.84976 1.122545
4698.94 17.45449 1.123536
4700.024 17.98308 1.131037
4701.105 18.38964 1.148013
4702.189 18.09166 1.144785
4703.271 17.10309 1.159387
4704.353 15.41887 1.13994
